小号塔类型,大号塔类型,地形,挂点档距(m),挂点高差(m),弹性系数(MPa)E,计算破断力(N)B,每km电阻(Ω)R,外径(mm)D,线涨系数(1/℃)A,单位长度重量(kg/km)w,总截面(mm^2)S,钢芯直径mm,工况温度(℃),工况风速(m/s),服役时长(天),最大弧垂(m)
0,0,2,321.6483,8.632,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,7.51
0,0,2,321.13866,8.522,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,7.48
0,0,2,321.05907,8.422,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,7.72
0,0,2,320.89412,8.625,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,7.25
0,0,2,321.70365,8.855,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,7.41
0,0,2,320.74922,8.531,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,7.68
0,0,2,272.53553,2.52,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,5.89
0,0,2,273.0337,7.26,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,5.63
0,0,2,272.95486,2.41,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,5.68
0,1,2,172.26433,-0.109,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,2.3
0,1,2,172.63649,5.061,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,2.44
0,1,2,173.14369,0.031,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,2.35
0,1,2,172.34607,1.118,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,1.94
0,1,2,172.69584,5.968,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,1.66
0,1,2,173.59121,0.678,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,1.86
0,0,2,273.32107,1.995,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,5.57
0,0,2,273.81491,7.009,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,5.8
0,0,2,272.3799,1.822,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,5.8
0,1,2,172.83762,-0.069,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,2.59
0,1,2,174.32541,5.21,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,2.42
0,1,2,174.64656,0.091,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,2.42
